sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device,lat_cell,lon_cell,distance
2,LTE,LTE,432,11,44220,23527171,339,35.7280195,51.2994881,-92,0,3,1.71775E+12,1,105.2,1276,30,Samsung_SM-A305FN,35.72905268,51.29689081,261.0850148
2,LTE,LTE,432,11,44220,23527171,339,35.7280064,51.2995563,-81,0,3.1,1.71775E+12,1,101.8,1275,30,Samsung_SM-A305FN,35.72905268,51.29689081,267.2578878
2,LTE,LTE,432,11,44220,23527171,339,35.7279855,51.2996253,-74,0,3,1.71775E+12,1.1,106.3,1276,30,Samsung_SM-A305FN,35.72905268,51.29689081,273.8775905
2,LTE,LTE,432,11,44220,23527171,339,35.7279704,51.29968,-79,0,3,1.71775E+12,1.1,107.2,1276,30,Samsung_SM-A305FN,35.72905268,51.29689081,279.0559096
2,LTE,LTE,432,11,44220,23527171,339,35.7279536,51.2997382,-77,0,3,1.71775E+12,1.1,111.2,1275,30,Samsung_SM-A305FN,35.72905268,51.29689081,284.6020423
2,LTE,LTE,432,11,44220,23527171,339,35.7279428,51.2997899,-83,0,3,1.71775E+12,0.7,86.3,1275,30,Samsung_SM-A305FN,35.72905268,51.29689081,289.3338514
2,LTE,LTE,432,11,44220,23527171,339,35.7279323,51.2997951,-80,0,3,1.71775E+12,0.3,126.6,1274,30,Samsung_SM-A305FN,35.72905268,51.29689081,290.2576833
2,LTE,LTE,432,11,44220,23527171,339,35.7279137,51.2998631,-83,0,3,1.71775E+12,1,110.8,1275,30,Samsung_SM-A305FN,35.72905268,51.29689081,296.6904256
2,LTE,LTE,432,11,44220,23527171,339,35.7279053,51.2999156,-81,0,3,1.71775E+12,0.1,105.5,1275,30,Samsung_SM-A305FN,35.72905268,51.29689081,301.3770341
2,LTE,LTE,432,11,44220,23527171,339,35.7279145,51.2999197,-85,0,3,1.71775E+12,0.6,8.4,1275,30,Samsung_SM-A305FN,35.72905268,51.29689081,301.2812029
2,LTE,LTE,432,11,44220,23527171,339,35.7279732,51.2999516,-76,0,3,1.71775E+12,1.3,18.3,1274,30,Samsung_SM-A305FN,35.72905268,51.29689081,301.2368362
2,LTE,LTE,432,11,44220,23527171,339,35.7280279,51.2999699,-77,0,3,1.71775E+12,1.1,8.4,1275,30,Samsung_SM-A305FN,35.72905268,51.29689081,300.3929851
2,LTE,LTE,432,11,44220,23527171,339,35.728079,51.2999974,-78,0,3,1.71775E+12,1.1,30.5,1275,30,Samsung_SM-A305FN,35.72905268,51.29689081,300.598226
